,TF_motif,time,direction,gene,score,peak,distance
53,NFYA,0,pos,FAM19A1,1.46978044014144,chr3-68196554-68197054,192588.0
54,NFYA,0,pos,MAML3,1.01108287834145,chr4-139984445-139984945,169489.0
55,NFYA,0,pos,SLC1A3,1.18036218371866,chr5-36438870-36439370,-167235.0
56,NFYA,0,pos,GLI3,1.03495493470211,chr7-42133269-42133769,104351.0
57,NFYA,0,pos,NCALD,1.58702052969026,chr8-101967656-101968156,157001.0
58,NFYA,0,pos,NCALD,1.47562517757549,chr8-101968809-101969309,155848.0
59,NFYA,0,pos,SYBU,1.53212918251972,chr8-109624624-109625124,66917.0
60,NFYA,0,pos,KIAA1456,2.44093679256218,chr8-12871072-12871572,-74320.0
61,TFAP2B,0,pos,GRIA4,1.00318254768066,chr11-105706097-105706597,96353.0
62,TFAP2B,0,pos,GUCY1A2,1.34955924914494,chr11-107018911-107019411,-637.0
63,TFAP2B,0,pos,CNTN1,2.73209630433589,chr12-40691632-40692132,-560.0
64,TFAP2B,0,pos,FLRT2,1.33159385289626,chr14-85583165-85583665,53271.0
65,TFAP2B,0,pos,MYO1D,1.83437093555424,chr17-32822477-32822977,54450.0
66,TFAP2B,0,pos,ANKRD30BL,2.27970317271554,chr2-132418847-132419347,-161128.0
67,TFAP2B,0,pos,CHL1,1.10216770544714,chr3-52442-52942,-143904.0
68,TFAP2B,0,pos,MAGI1,1.13245917449664,chr3-65964713-65965213,73871.0
69,TFAP2B,0,pos,MAGI1,2.37384448467189,chr3-66200672-66201172,-162088.0
70,TFAP2B,0,pos,FAM19A1,1.30333428325706,chr3-67869410-67869910,-134556.0
71,TFAP2B,0,pos,FAM19A1,1.47562730102731,chr3-68130293-68130793,126327.0
72,TFAP2B,0,pos,GAB1,1.62954065869785,chr4-143343965-143344465,7453.0
73,TFAP2B,0,pos,GAB1,1.09859060085059,chr4-143362328-143362828,25816.0
74,TFAP2B,0,pos,SLC1A3,1.18036218371866,chr5-36438870-36439370,-167235.0
75,TFAP2B,0,pos,SLC1A3,1.03447005082018,chr5-36717148-36717648,111043.0
76,TFAP2B,0,pos,IQGAP2,0.822545623605132,chr5-76256202-76256702,-146797.0
77,TFAP2B,0,pos,CREB5,1.18446975477671,chr7-28409778-28410278,110707.0
78,TFAP2B,0,pos,GLI3,0.939356714337889,chr7-42152751-42153251,84869.0
79,TFAP2B,0,pos,GLI3,0.677701094352524,chr7-42226383-42226883,11237.0
80,TFAP2B,0,pos,GLI3,1.00380924754044,chr7-42232175-42232675,5445.0
81,TFAP2B,0,pos,EGFR,1.5688248606101,chr7-55044001-55044501,25230.0
82,TFAP2B,0,pos,NCALD,1.41150998751225,chr8-102124321-102124821,336.0
83,TFAP2B,0,pos,KIAA1456,2.44093679256218,chr8-12871072-12871572,-74320.0
84,TFAP2B,0,pos,CHD7,1.00107851886532,chr8-60713854-60714354,35326.0
85,FOXD1,0,pos,SYT16,1.41349759791878,chr14-61860197-61860697,48473.0
86,FOXD1,0,pos,CHL1,1.23999635659564,chr3-107208-107708,-89138.0
87,FOXD1,0,pos,GAB1,1.35883397073255,chr4-143302480-143302980,-34032.0
88,FOXD1,0,pos,GAB1,1.00694066199389,chr4-143402822-143403322,66310.0
89,FOXD1,0,pos,CHSY3,1.84361425756584,chr5-129717990-129718490,-186232.0
90,FOXD1,0,pos,FBXL7,1.44104500209928,chr5-15653812-15654312,153866.0
91,FOXD1,0,pos,SLC1A3,2.11386175402903,chr5-36535849-36536349,-70256.0
92,FOXD1,0,pos,SLC1A3,1.37663439017455,chr5-36570572-36571072,-35533.0
93,E2F1,0,pos,GUCY1A2,1.34955924914494,chr11-107018911-107019411,-637.0
94,E2F1,0,pos,FAM19A1,0.728760824102306,chr3-68007373-68007873,3407.0
95,E2F1,0,pos,GAB1,1.62954065869785,chr4-143343965-143344465,7453.0
96,E2F1,0,pos,LIMCH1,1.59107406509254,chr4-41383375-41383875,24018.0
97,POU6F2,0,pos,COL11A1,1.28895189398109,chr1-103180582-103181082,-72336.0
98,POU6F2,0,pos,GRAMD1B,0.776573351457545,chr11-123214416-123214916,-143762.0
99,POU6F2,0,pos,CDH13,0.815965184455421,chr16-82716460-82716960,89907.0
100,POU6F2,0,pos,MYO1D,2.41718340245584,chr17-32698327-32698827,178600.0
101,POU6F2,0,pos,R3HDM1,3.10729888510138,chr2-135640416-135640916,109211.0
102,POU6F2,0,pos,GAB1,1.09859060085059,chr4-143362328-143362828,25816.0
103,POU6F2,0,pos,LIMCH1,1.19548722327297,chr4-41362469-41362969,3112.0
104,POU6F2,0,pos,FBXL7,1.44104500209928,chr5-15653812-15654312,153866.0
105,POU6F2,0,pos,SLC1A3,1.48640451988698,chr5-36664748-36665248,58643.0
106,POU6F2,0,pos,EPM2A,0.814700597026638,chr6-145901065-145901565,-165292.0
107,POU6F2,0,pos,GLI3,1.03495493470211,chr7-42133269-42133769,104351.0
108,POU6F2,0,pos,GLI3,0.677701094352524,chr7-42226383-42226883,11237.0
109,POU6F2,0,pos,SYBU,1.53212918251972,chr8-109624624-109625124,66917.0
110,IRF3,0,pos,GRIA4,1.70636099913714,chr11-105718604-105719104,108860.0
111,IRF3,0,pos,GUCY1A2,1.24807039581695,chr11-107184845-107185345,-166571.0
112,IRF3,0,pos,APOLD1,0.869496061245859,chr12-12737050-12737550,11383.0
113,IRF3,0,pos,CNTN1,2.73209630433589,chr12-40691632-40692132,-560.0
114,IRF3,0,pos,ATP2B1,3.43717060757865,chr12-89707470-89707970,1580.0
115,IRF3,0,pos,SYT16,1.41349759791878,chr14-61860197-61860697,48473.0
116,IRF3,0,pos,IQCJ-SCHIP1,1.06492433781136,chr3-159030054-159030554,68069.0
117,IRF3,0,pos,CHL1,1.29243929311446,chr3-200880-201380,4534.0
118,IRF3,0,pos,MAGI1,2.37384448467189,chr3-66200672-66201172,-162088.0
119,IRF3,0,pos,RNF150,2.27435004302475,chr4-141220621-141221121,-7994.0
120,IRF3,0,pos,RNF150,2.16517689895799,chr4-141315495-141315995,-102868.0
121,IRF3,0,pos,GAB1,1.00694066199389,chr4-143402822-143403322,66310.0
122,IRF3,0,pos,LIMCH1,1.52739091507703,chr4-41385520-41386020,26163.0
123,IRF3,0,pos,SLC1A3,1.50413376160236,chr5-36441414-36441914,-164691.0
124,IRF3,0,pos,SLC1A3,1.48640451988698,chr5-36664748-36665248,58643.0
125,IRF3,0,pos,SLC1A3,1.386112520627,chr5-36703226-36703726,97121.0
126,IRF3,0,pos,CREB5,1.31818189440652,chr7-28286029-28286529,-13042.0
127,IRF3,0,pos,CREB5,1.31625364639665,chr7-28465631-28466131,166560.0
128,IRF3,0,pos,GLI3,1.03495493470211,chr7-42133269-42133769,104351.0
129,IRF3,0,pos,GLI3,0.738114215939335,chr7-42148583-42149083,89037.0
130,IRF3,0,pos,GLI3,0.939356714337889,chr7-42152751-42153251,84869.0
131,IRF3,0,pos,EGFR,1.5688248606101,chr7-55044001-55044501,25230.0
132,IRF3,0,pos,NCALD,0.907043857263677,chr8-102273701-102274201,-149044.0
133,IRF3,0,pos,ZHX2,1.02657554301173,chr8-122664710-122665210,-116434.0
134,IRF3,0,pos,KIAA1456,2.44093679256218,chr8-12871072-12871572,-74320.0
135,IRF3,0,pos,C8orf34,1.38119578474343,chr8-68331480-68331980,1008.0
136,CDX2,0,pos,COL11A1,1.01702326537938,chr1-103084206-103084706,24040.0
137,CDX2,0,pos,COL11A1,1.52682486802909,chr1-103110668-103111168,-2422.0
138,CDX2,0,pos,COL11A1,1.28895189398109,chr1-103180582-103181082,-72336.0
139,CDX2,0,pos,GRAMD1B,0.692646173682998,chr11-123173169-123173669,-185009.0
140,CDX2,0,pos,SYT16,1.41349759791878,chr14-61860197-61860697,48473.0
141,CDX2,0,pos,MYO1D,2.41718340245584,chr17-32698327-32698827,178600.0
142,CDX2,0,pos,MYO1D,1.83437093555424,chr17-32822477-32822977,54450.0
143,CDX2,0,pos,CHL1,1.29243929311446,chr3-200880-201380,4534.0
144,CDX2,0,pos,LIMCH1,1.44493674452019,chr4-41258748-41259248,-100609.0
145,CDX2,0,pos,LIMCH1,1.06229057341297,chr4-41409073-41409573,49716.0
146,CDX2,0,pos,LIMCH1,1.40476417633119,chr4-41427851-41428351,68494.0
147,CDX2,0,pos,CHSY3,1.84361425756584,chr5-129717990-129718490,-186232.0
148,CDX2,0,pos,FBXL7,1.2066994087206,chr5-15442403-15442903,-57543.0
149,CDX2,0,pos,GLI3,0.677701094352524,chr7-42226383-42226883,11237.0
150,CDX2,0,pos,NCALD,0.974481287517315,chr8-101949662-101950162,174995.0
151,CDX2,0,pos,NCALD,1.23197634809176,chr8-102123054-102123554,1603.0
152,NFYB,0,pos,ACTN2,1.95311959233008,chr1-236706149-236706649,19945.0
153,NFYB,0,pos,PLCE1,0.830884363973574,chr10-93872653-93873153,-157909.0
154,NFYB,0,pos,IQCJ-SCHIP1,1.06492433781136,chr3-159030054-159030554,68069.0
155,NFYB,0,pos,MAML3,1.01108287834145,chr4-139984445-139984945,169489.0
156,NFYB,0,pos,SLC1A3,1.18036218371866,chr5-36438870-36439370,-167235.0
157,NFYB,0,pos,CREB5,1.31625364639665,chr7-28465631-28466131,166560.0
158,NFYB,0,pos,GLI3,1.03495493470211,chr7-42133269-42133769,104351.0
159,NFYB,0,pos,GLI3,0.738114215939335,chr7-42148583-42149083,89037.0
160,NFYB,0,pos,NCALD,1.47562517757549,chr8-101968809-101969309,155848.0
161,NFYB,0,pos,SYBU,1.53212918251972,chr8-109624624-109625124,66917.0
162,NFYB,0,pos,KIAA1456,2.44093679256218,chr8-12871072-12871572,-74320.0
163,NFYB,0,pos,RUNX1T1,0.961620465928913,chr8-91934640-91935140,168396.0
164,MSX1,0,pos,R3HDM1,3.10729888510138,chr2-135640416-135640916,109211.0
165,MSX1,0,pos,ITPR1,0.95120850980959,chr3-4682154-4682654,189056.0
166,MSX1,0,pos,FAM19A1,1.30333428325706,chr3-67869410-67869910,-134556.0
167,MSX1,0,pos,FAM19A1,1.47562730102731,chr3-68130293-68130793,126327.0
168,MSX1,0,pos,FAM19A1,1.46978044014144,chr3-68196554-68197054,192588.0
169,MSX1,0,pos,SLC1A3,0.87518886829368,chr5-36590549-36591049,-15556.0
170,MSX1,0,pos,SLC1A3,1.48640451988698,chr5-36664748-36665248,58643.0
171,MSX1,0,pos,SLC1A3,1.03447005082018,chr5-36717148-36717648,111043.0
172,MSX1,0,pos,CREB5,1.31818189440652,chr7-28286029-28286529,-13042.0
173,MSX1,0,pos,NCALD,1.56486105923544,chr8-102305525-102306025,-180868.0
174,MSX1,0,pos,PAG1,0.667289825668518,chr8-81084996-81085496,26822.0
175,HOXC12,0,pos,CHL1,1.29243929311446,chr3-200880-201380,4534.0
176,HOXC12,0,pos,RNF150,2.27435004302475,chr4-141220621-141221121,-7994.0
177,HOXC12,0,pos,GAB1,1.60323981449163,chr4-143411399-143411899,74887.0
178,HOXC12,0,pos,LIMCH1,0.902355168444817,chr4-41464499-41464999,105142.0
179,HOXC12,0,pos,GLI3,0.677701094352524,chr7-42226383-42226883,11237.0
180,HOXC12,0,pos,NCALD,2.2421225500071,chr8-102162600-102163100,-37943.0
181,HOXC12,0,pos,ZHX2,1.02657554301173,chr8-122664710-122665210,-116434.0
182,DUX4,0,pos,CNTN1,1.60012621739959,chr12-40670450-40670950,-21742.0
183,DUX4,0,pos,MYO1D,2.41718340245584,chr17-32698327-32698827,178600.0
184,DUX4,0,pos,IQCJ-SCHIP1,1.06492433781136,chr3-159030054-159030554,68069.0
185,DUX4,0,pos,LIMCH1,1.8793477104084,chr4-41363397-41363897,4040.0
186,DUX4,0,pos,LIMCH1,1.59107406509254,chr4-41383375-41383875,24018.0
187,DUX4,0,pos,LIMCH1,1.8182127756203,chr4-41432878-41433378,73521.0
188,DUX4,0,pos,FBXL7,1.44104500209928,chr5-15653812-15654312,153866.0
189,DUX4,0,pos,SLC1A3,1.18036218371866,chr5-36438870-36439370,-167235.0
190,DUX4,0,pos,SLC1A3,1.37663439017455,chr5-36570572-36571072,-35533.0
191,DUX4,0,pos,SYBU,1.53212918251972,chr8-109624624-109625124,66917.0
192,TFAP2A(var.2),0,pos,GUCY1A2,1.34955924914494,chr11-107018911-107019411,-637.0
193,TFAP2A(var.2),0,pos,CNTN1,2.73209630433589,chr12-40691632-40692132,-560.0
194,TFAP2A(var.2),0,pos,FLRT2,1.33159385289626,chr14-85583165-85583665,53271.0
195,TFAP2A(var.2),0,pos,MYO1D,1.83437093555424,chr17-32822477-32822977,54450.0
196,TFAP2A(var.2),0,pos,ANKRD30BL,2.27970317271554,chr2-132418847-132419347,-161128.0
197,TFAP2A(var.2),0,pos,CHL1,1.10216770544714,chr3-52442-52942,-143904.0
198,TFAP2A(var.2),0,pos,MAGI1,1.13245917449664,chr3-65964713-65965213,73871.0
199,TFAP2A(var.2),0,pos,MAGI1,2.37384448467189,chr3-66200672-66201172,-162088.0
200,TFAP2A(var.2),0,pos,FAM19A1,1.30333428325706,chr3-67869410-67869910,-134556.0
201,TFAP2A(var.2),0,pos,FAM19A1,1.47562730102731,chr3-68130293-68130793,126327.0
202,TFAP2A(var.2),0,pos,RNF150,2.27435004302475,chr4-141220621-141221121,-7994.0
203,TFAP2A(var.2),0,pos,GAB1,1.62954065869785,chr4-143343965-143344465,7453.0
204,TFAP2A(var.2),0,pos,GAB1,1.09859060085059,chr4-143362328-143362828,25816.0
205,TFAP2A(var.2),0,pos,SLC1A3,1.18036218371866,chr5-36438870-36439370,-167235.0
206,TFAP2A(var.2),0,pos,SLC1A3,1.50413376160236,chr5-36441414-36441914,-164691.0
207,TFAP2A(var.2),0,pos,SLC1A3,1.03447005082018,chr5-36717148-36717648,111043.0
208,TFAP2A(var.2),0,pos,IQGAP2,0.822545623605132,chr5-76256202-76256702,-146797.0
209,TFAP2A(var.2),0,pos,PTK7,0.8541759689377,chr6-43171487-43171987,95469.0
210,TFAP2A(var.2),0,pos,CREB5,1.18446975477671,chr7-28409778-28410278,110707.0
211,TFAP2A(var.2),0,pos,GLI3,0.738114215939335,chr7-42148583-42149083,89037.0
212,TFAP2A(var.2),0,pos,GLI3,0.939356714337889,chr7-42152751-42153251,84869.0
213,TFAP2A(var.2),0,pos,GLI3,0.773762713415211,chr7-42174298-42174798,63322.0
214,TFAP2A(var.2),0,pos,GLI3,0.677701094352524,chr7-42226383-42226883,11237.0
215,TFAP2A(var.2),0,pos,GLI3,1.00380924754044,chr7-42232175-42232675,5445.0
216,TFAP2A(var.2),0,pos,NCALD,1.41150998751225,chr8-102124321-102124821,336.0
217,TFAP2A(var.2),0,pos,CHD7,1.00107851886532,chr8-60713854-60714354,35326.0
218,NR3C1,0,pos,COL11A1,1.01702326537938,chr1-103084206-103084706,24040.0
219,NR3C1,0,pos,COL11A1,1.28895189398109,chr1-103180582-103181082,-72336.0
220,NR3C1,0,pos,ATP2B1,3.89100059076731,chr12-89901347-89901847,-192297.0
221,NR3C1,0,pos,ITPR1,0.95120850980959,chr3-4682154-4682654,189056.0
222,NR3C1,0,pos,GAB1,1.00694066199389,chr4-143402822-143403322,66310.0
223,NR3C1,0,pos,LIMCH1,1.1030159266239,chr4-41429197-41429697,69840.0
224,NR3C1,0,pos,NCALD,1.47562517757549,chr8-101968809-101969309,155848.0
225,NR3C1,0,pos,PAG1,0.667289825668518,chr8-81084996-81085496,26822.0
226,FOSL2::JUND,1,pos,DPYD,0.58152326925002,chr1-97728660-97729160,192139.0
227,FOSL2::JUND,1,pos,PLCE1,1.41163957850963,chr10-94137521-94138021,106959.0
228,FOSL2::JUND,1,pos,CUX2,0.673116610646622,chr12-111201565-111202065,167791.0
229,FOSL2::JUND,1,pos,CRADD,1.04408551768456,chr12-93616520-93617020,-60605.0
230,FOSL2::JUND,1,pos,CA12,3.40570733156416,chr15-63256579-63257079,125332.0
231,FOSL2::JUND,1,pos,CDH13,0.971453463575734,chr16-82580198-82580698,-46355.0
232,FOSL2::JUND,1,pos,KIAA0513,2.69414469030311,chr16-84970404-84970904,-57097.0
233,FOSL2::JUND,1,pos,GAREM1,0.707624597751341,chr18-32454559-32455059,15675.0
234,FOSL2::JUND,1,pos,GPR39,0.643250697683664,chr2-132438688-132439188,22364.0
235,FOSL2::JUND,1,pos,FIGN,0.604514800187062,chr2-163601313-163601813,134449.0
236,FOSL2::JUND,1,pos,FIGN,0.967741967576367,chr2-163671827-163672327,63935.0
237,FOSL2::JUND,1,pos,FIGN,0.868202427207963,chr2-163933974-163934474,-198212.0
238,FOSL2::JUND,1,pos,MPPED1,1.62867892036321,chr22-43485497-43485997,74551.0
239,FOSL2::JUND,1,pos,IQCJ-SCHIP1,1.12117258457637,chr3-159144759-159145259,182774.0
240,FOSL2::JUND,1,pos,CADPS,0.938422460490231,chr3-62940780-62941280,-65641.0
241,FOSL2::JUND,1,pos,NDST3,1.09332728419866,chr4-117918155-117918655,-115213.0
242,FOSL2::JUND,1,pos,MAML3,1.90476851492036,chr4-140233761-140234261,-79827.0
243,FOSL2::JUND,1,pos,LIMCH1,3.25684880941263,chr4-41409073-41409573,49716.0
244,FOSL2::JUND,1,pos,SEMA6A,0.908503621430841,chr5-116652233-116652733,-77549.0
245,FOSL2::JUND,1,pos,SGK1,0.677672963267951,chr6-134295848-134296348,22014.0
246,FOSL2::JUND,1,pos,CREB5,0.987466474938927,chr7-28124851-28125351,-174220.0
247,FOSL2::JUND,1,pos,CREB5,1.48722522111886,chr7-28494664-28495164,195593.0
248,FOSL2::JUND,1,pos,EEPD1,1.52046142710729,chr7-36290019-36290519,137120.0
249,FOSL2::JUND,1,pos,GLI3,1.48277513017262,chr7-42189458-42189958,48162.0
250,FOSL2::JUND,1,pos,TRPS1,1.22067718682914,chr8-115774438-115774938,34985.0
251,FOSL2::JUND,1,pos,CHD7,1.09625288253367,chr8-60821753-60822253,143225.0
252,FOSL2::JUND,1,pos,GABBR2,0.826378476065138,chr9-98551508-98552008,157439.0
253,TFAP2C(var.2),1,pos,EFCAB2,0.909677460787141,chr1-244863468-244863968,-105987.0
254,TFAP2C(var.2),1,pos,PLCE1,1.31233396911407,chr10-93846731-93847231,-183831.0
255,TFAP2C(var.2),1,pos,PLCE1,0.902400896405888,chr10-94017243-94017743,-13319.0
256,TFAP2C(var.2),1,pos,TMEM123,2.13612582633351,chr11-102451650-102452150,18484.0
257,TFAP2C(var.2),1,pos,GAS2L3,0.625601922688724,chr12-100375312-100375812,-198121.0
258,TFAP2C(var.2),1,pos,CUX2,0.673116610646622,chr12-111201565-111202065,167791.0
259,TFAP2C(var.2),1,pos,TMEM132B,1.17347473963349,chr12-124993665-124994165,-192921.0
260,TFAP2C(var.2),1,pos,TMEM132B,1.51604899440894,chr12-125100707-125101207,-85879.0
261,TFAP2C(var.2),1,pos,TMEM132B,1.03114362566533,chr12-125205388-125205888,18802.0
262,TFAP2C(var.2),1,pos,TMEM132B,1.50231945196985,chr12-125314596-125315096,128010.0
263,TFAP2C(var.2),1,pos,APOLD1,0.931937770148051,chr12-12685237-12685737,-40430.0
264,TFAP2C(var.2),1,pos,GRIP1,1.23324698085844,chr12-66784565-66785065,19371.0
265,TFAP2C(var.2),1,pos,ATP2B1,0.741850673719876,chr12-89863307-89863807,-154257.0
266,TFAP2C(var.2),1,pos,CRADD,1.5954319486195,chr12-93778148-93778648,101023.0
267,TFAP2C(var.2),1,pos,SMAD9,1.4992299079857,chr13-37001162-37001662,-80647.0
268,TFAP2C(var.2),1,pos,GPC6,1.0556251919905,chr13-93227057-93227557,465.0
269,TFAP2C(var.2),1,pos,TRIM9,0.860735357868975,chr14-51093824-51094324,1987.0
270,TFAP2C(var.2),1,pos,SMOC1,0.664253326694758,chr14-69773875-69774375,-80006.0
271,TFAP2C(var.2),1,pos,SMOC1,1.33312672341118,chr14-69842798-69843298,-11083.0
272,TFAP2C(var.2),1,pos,CA12,1.63223314838338,chr15-63413013-63413513,-31102.0
273,TFAP2C(var.2),1,pos,CA12,0.923167045191944,chr15-63446954-63447454,-65043.0
274,TFAP2C(var.2),1,pos,KIAA0513,1.45341790318004,chr16-85213738-85214238,186237.0
275,TFAP2C(var.2),1,pos,GPR39,0.927397847184979,chr2-132568573-132569073,152249.0
276,TFAP2C(var.2),1,pos,LINC01876,1.47391617582173,chr2-156167974-156168474,86726.0
277,TFAP2C(var.2),1,pos,FIGN,0.868202427207963,chr2-163933974-163934474,-198212.0
278,TFAP2C(var.2),1,pos,HEG1,1.89064646826914,chr3-125144167-125144667,-88459.0
279,TFAP2C(var.2),1,pos,IQCJ-SCHIP1,1.12117258457637,chr3-159144759-159145259,182774.0
280,TFAP2C(var.2),1,pos,ARPP21,0.991469294428329,chr3-35663575-35664075,24880.0
281,TFAP2C(var.2),1,pos,ITPR1,0.539846777105819,chr3-4409881-4410381,-83217.0
282,TFAP2C(var.2),1,pos,CADPS,0.748816447178512,chr3-62720446-62720946,154693.0
283,TFAP2C(var.2),1,pos,NDST3,0.643864156718496,chr4-117968173-117968673,-65195.0
284,TFAP2C(var.2),1,pos,MAML3,1.90476851492036,chr4-140233761-140234261,-79827.0
285,TFAP2C(var.2),1,pos,EPB41L4A,1.18506386800821,chr5-112594389-112594889,-175323.0
286,TFAP2C(var.2),1,pos,SEMA6A,0.909650300434964,chr5-116378396-116378896,196288.0
287,TFAP2C(var.2),1,pos,IQGAP2,1.23187350317904,chr5-76526907-76527407,123908.0
288,TFAP2C(var.2),1,pos,IQGAP2,0.75156166475063,chr5-76546380-76546880,143381.0
289,TFAP2C(var.2),1,pos,SGK1,0.648358709011465,chr6-134172390-134172890,145472.0
290,TFAP2C(var.2),1,pos,SGK1,0.631522188169858,chr6-134315778-134316278,2084.0
291,TFAP2C(var.2),1,pos,SGK1,0.64172797177024,chr6-134410463-134410963,-92601.0
292,TFAP2C(var.2),1,pos,HSPA1B,0.847350386824257,chr6-31711498-31711998,-115987.0
293,TFAP2C(var.2),1,pos,HSPA1B,0.828411203589626,chr6-31814510-31815010,-12975.0
294,TFAP2C(var.2),1,pos,PTK7,0.793438484603522,chr6-42876991-42877491,-199027.0
295,TFAP2C(var.2),1,pos,PTK7,1.01731490860864,chr6-42898811-42899311,-177207.0
296,TFAP2C(var.2),1,pos,PTK7,0.789636318568754,chr6-43127797-43128297,51779.0
297,TFAP2C(var.2),1,pos,FOXP2,1.05492673427291,chr7-114151559-114152059,65482.0
298,TFAP2C(var.2),1,pos,EEPD1,1.52046142710729,chr7-36290019-36290519,137120.0
299,TFAP2C(var.2),1,pos,GLI3,0.796638531903026,chr7-42138761-42139261,98859.0
300,TFAP2C(var.2),1,pos,GLI3,2.13028747366223,chr7-42226383-42226883,11237.0
301,TFAP2C(var.2),1,pos,HSPB1,0.923080152323789,chr7-76166365-76166865,-135929.0
302,TFAP2C(var.2),1,pos,HSPB1,1.05968160973455,chr7-76167013-76167513,-135281.0
303,TFAP2C(var.2),1,pos,HSPB1,1.01615667765004,chr7-76267170-76267670,-35124.0
304,TFAP2C(var.2),1,pos,HSPB1,1.01739884126148,chr7-76280265-76280765,-22029.0
