TF_motif,time,direction,gene,score,peak,distance
NFYA,0,pos,MYO1D,1.27337629,chr17-32698327-32698827,178600
NFYA,0,pos,IQCJ-SCHIP1,0.563853089,chr3-159030054-159030554,68069
NFYA,0,pos,FAM19A1,1.086869665,chr3-68196554-68197054,192588
NFYA,0,pos,SLC1A3,0.793582145,chr5-36438870-36439370,-167235
NFYA,0,pos,GLI3,0.730767822,chr7-42133269-42133769,104351
NFYA,0,pos,NCALD,1.047262227,chr8-101967656-101968156,157001
NFYA,0,pos,NCALD,0.975277052,chr8-101968809-101969309,155848
NFYA,0,pos,SYBU,0.839590549,chr8-109624624-109625124,66917
NFYA,0,pos,KIAA1456,1.338513026,chr8-12871072-12871572,-74320
IRF3,0,pos,GRIA4,1.684215594,chr11-105718604-105719104,108860
IRF3,0,pos,GUCY1A2,0.58321324,chr11-107184845-107185345,-166571
IRF3,0,pos,APOLD1,0.628132151,chr12-12714576-12715076,-11091
IRF3,0,pos,APOLD1,0.699554448,chr12-12737050-12737550,11383
IRF3,0,pos,CNTN1,1.30709545,chr12-40691632-40692132,-560
IRF3,0,pos,ATP2B1,1.117699638,chr12-89707470-89707970,1580
IRF3,0,pos,SYT16,1.251070616,chr14-61860197-61860697,48473
IRF3,0,pos,IQCJ-SCHIP1,0.563853089,chr3-159030054-159030554,68069
IRF3,0,pos,CHL1,0.999511714,chr3-200880-201380,4534
IRF3,0,pos,MAGI1,1.484269417,chr3-66200672-66201172,-162088
IRF3,0,pos,RNF150,1.217518002,chr4-141220621-141221121,-7994
IRF3,0,pos,RNF150,1.164105776,chr4-141315495-141315995,-102868
IRF3,0,pos,GAB1,0.632444628,chr4-143402822-143403322,66310
IRF3,0,pos,LIMCH1,0.84557275,chr4-41385520-41386020,26163
IRF3,0,pos,SLC1A3,1.027578903,chr5-36441414-36441914,-164691
IRF3,0,pos,SLC1A3,1.001945614,chr5-36664748-36665248,58643
IRF3,0,pos,SLC1A3,0.929463766,chr5-36703226-36703726,97121
IRF3,0,pos,CREB5,0.950481136,chr7-28286029-28286529,-13042
IRF3,0,pos,CREB5,0.934905074,chr7-28465631-28466131,166560
IRF3,0,pos,GLI3,0.730767822,chr7-42133269-42133769,104351
IRF3,0,pos,GLI3,0.521230397,chr7-42148583-42149083,89037
IRF3,0,pos,GLI3,0.677133708,chr7-42152751-42153251,84869
IRF3,0,pos,EGFR,1.119199086,chr7-55044001-55044501,25230
IRF3,0,pos,NCALD,0.582772284,chr8-102273701-102274201,-149044
IRF3,0,pos,ZHX2,0.762964814,chr8-122664710-122665210,-116434
IRF3,0,pos,KIAA1456,1.338513026,chr8-12871072-12871572,-74320
IRF3,0,pos,C8orf34,1.22507024,chr8-68331480-68331980,1008
YY1,0,pos,COL11A1,0.73991407,chr1-103110668-103111168,-2422
YY1,0,pos,COL11A1,0.611462691,chr1-103180582-103181082,-72336
YY1,0,pos,ATP2B1,1.253647261,chr12-89901347-89901847,-192297
YY1,0,pos,MYO1D,0.983041475,chr17-32822477-32822977,54450
YY1,0,pos,CHL1,0.980029703,chr3-107208-107708,-89138
YY1,0,pos,IQCJ-SCHIP1,0.563853089,chr3-159030054-159030554,68069
YY1,0,pos,ARPP21,0.568554524,chr3-35733281-35733781,94586
YY1,0,pos,CHL1,0.867126143,chr3-52442-52942,-143904
YY1,0,pos,FAM19A1,1.086869665,chr3-68196554-68197054,192588
YY1,0,pos,GAB1,1.023490534,chr4-143343965-143344465,7453
YY1,0,pos,LIMCH1,0.750150583,chr4-41281014-41281514,-78343
YY1,0,pos,LIMCH1,0.771339766,chr4-41427851-41428351,68494
YY1,0,pos,LIMCH1,0.571214288,chr4-41476306-41476806,116949
YY1,0,pos,LIMCH1,0.830426147,chr4-41509578-41510078,150221
YY1,0,pos,FBXL7,0.69285968,chr5-15543944-15544444,43998
YY1,0,pos,SLC1A3,0.793582145,chr5-36438870-36439370,-167235
YY1,0,pos,SLC1A3,0.921007589,chr5-36569448-36569948,-36657
YY1,0,pos,GLI3,0.726717446,chr7-42065843-42066343,171777
YY1,0,pos,NCALD,0.975277052,chr8-101968809-101969309,155848
YY1,0,pos,PAG1,0.527245815,chr8-81084996-81085496,26822
FOXD1,0,pos,SYT16,1.251070616,chr14-61860197-61860697,48473
FOXD1,0,pos,CHL1,0.980029703,chr3-107208-107708,-89138
FOXD1,0,pos,GAB1,0.853463643,chr4-143302480-143302980,-34032
FOXD1,0,pos,GAB1,0.632444628,chr4-143402822-143403322,66310
FOXD1,0,pos,CHSY3,1.48216015,chr5-129717990-129718490,-186232
FOXD1,0,pos,FBXL7,0.799897474,chr5-15653812-15654312,153866
FOXD1,0,pos,SLC1A3,1.419330976,chr5-36535849-36536349,-70256
FOXD1,0,pos,SLC1A3,0.93587491,chr5-36570572-36571072,-35533
PRDM1,0,pos,COL11A1,0.643365074,chr1-103106229-103106729,2017
PRDM1,0,pos,ACTN2,1.530231979,chr1-236706149-236706649,19945
PRDM1,0,pos,CNTN1,0.828822519,chr12-40670450-40670950,-21742
PRDM1,0,pos,ARPP21,0.781362079,chr3-35744261-35744761,105566
PRDM1,0,pos,CHL1,0.867126143,chr3-52442-52942,-143904
PRDM1,0,pos,MAGI1,0.758946935,chr3-65964713-65965213,73871
PRDM1,0,pos,GAB1,0.690008608,chr4-143362328-143362828,25816
PRDM1,0,pos,LIMCH1,0.750150583,chr4-41281014-41281514,-78343
PRDM1,0,pos,SLC1A3,0.672335896,chr5-36482767-36483267,-123338
PRDM1,0,pos,SLC1A3,1.419330976,chr5-36535849-36536349,-70256
PRDM1,0,pos,SLC1A3,0.921007589,chr5-36569448-36569948,-36657
PRDM1,0,pos,SLC1A3,0.844306945,chr5-36606237-36606737,132
PRDM1,0,pos,CREB5,0.934905074,chr7-28465631-28466131,166560
PRDM1,0,pos,GLI3,0.528822494,chr7-42073911-42074411,163709
PRDM1,0,pos,EGFR,1.119199086,chr7-55044001-55044501,25230
PRDM1,0,pos,NCALD,1.047262227,chr8-101967656-101968156,157001
MLXIPL,0,pos,ARPP21,0.781362079,chr3-35744261-35744761,105566
MLXIPL,0,pos,SLC1A3,0.77321314,chr5-36662203-36662703,56098
MLXIPL,0,pos,SLC1A3,0.929463766,chr5-36703226-36703726,97121
MLXIPL,0,pos,GLI3,0.841417409,chr7-42152223-42152723,85397
MLXIPL,0,pos,EGFR,1.119199086,chr7-55044001-55044501,25230
MLXIPL,0,pos,NCALD,0.68036137,chr8-101949662-101950162,174995
DUX4,0,pos,CNTN1,0.828822519,chr12-40670450-40670950,-21742
DUX4,0,pos,MYO1D,1.27337629,chr17-32698327-32698827,178600
DUX4,0,pos,IQCJ-SCHIP1,0.563853089,chr3-159030054-159030554,68069
DUX4,0,pos,LIMCH1,1.0138739,chr4-41363397-41363897,4040
DUX4,0,pos,LIMCH1,0.918865747,chr4-41383375-41383875,24018
DUX4,0,pos,LIMCH1,0.969369206,chr4-41432878-41433378,73521
DUX4,0,pos,FBXL7,0.799897474,chr5-15653812-15654312,153866
DUX4,0,pos,SLC1A3,0.793582145,chr5-36438870-36439370,-167235
DUX4,0,pos,SLC1A3,0.93587491,chr5-36570572-36571072,-35533
DUX4,0,pos,SYBU,0.839590549,chr8-109624624-109625124,66917
TFAP2A(var.2),0,pos,COL11A1,0.697216963,chr1-103108435-103108935,-189
TFAP2A(var.2),0,pos,GUCY1A2,0.64526516,chr11-107018911-107019411,-637
TFAP2A(var.2),0,pos,CNTN1,1.30709545,chr12-40691632-40692132,-560
TFAP2A(var.2),0,pos,FLRT2,0.914567864,chr14-85583165-85583665,53271
TFAP2A(var.2),0,pos,MYO1D,0.983041475,chr17-32822477-32822977,54450
TFAP2A(var.2),0,pos,ANKRD30BL,1.666287513,chr2-132418847-132419347,-161128
TFAP2A(var.2),0,pos,CHL1,0.867126143,chr3-52442-52942,-143904
TFAP2A(var.2),0,pos,MAGI1,0.758946935,chr3-65964713-65965213,73871
TFAP2A(var.2),0,pos,MAGI1,1.484269417,chr3-66200672-66201172,-162088
TFAP2A(var.2),0,pos,FAM19A1,0.967173806,chr3-67869410-67869910,-134556
TFAP2A(var.2),0,pos,FAM19A1,1.114767508,chr3-68130293-68130793,126327
TFAP2A(var.2),0,pos,RNF150,1.217518002,chr4-141220621-141221121,-7994
TFAP2A(var.2),0,pos,GAB1,1.023490534,chr4-143343965-143344465,7453
TFAP2A(var.2),0,pos,GAB1,0.690008608,chr4-143362328-143362828,25816
TFAP2A(var.2),0,pos,SLC1A3,0.793582145,chr5-36438870-36439370,-167235
TFAP2A(var.2),0,pos,SLC1A3,1.027578903,chr5-36441414-36441914,-164691
TFAP2A(var.2),0,pos,SLC1A3,0.695454923,chr5-36717148-36717648,111043
TFAP2A(var.2),0,pos,CREB5,0.862270061,chr7-28409778-28410278,110707
TFAP2A(var.2),0,pos,GLI3,0.521230397,chr7-42148583-42149083,89037
TFAP2A(var.2),0,pos,GLI3,0.677133708,chr7-42152751-42153251,84869
TFAP2A(var.2),0,pos,GLI3,0.578205797,chr7-42174298-42174798,63322
TFAP2A(var.2),0,pos,GLI3,0.720775074,chr7-42232175-42232675,5445
TFAP2A(var.2),0,pos,NCALD,0.706667887,chr8-102063877-102064377,60780
TFAP2A(var.2),0,pos,NCALD,0.96298018,chr8-102124321-102124821,336
TFAP2A(var.2),0,pos,CHD7,0.722421415,chr8-60713854-60714354,35326
TFAP2C,0,pos,COL11A1,0.697216963,chr1-103108435-103108935,-189
TFAP2C,0,pos,GUCY1A2,0.64526516,chr11-107018911-107019411,-637
TFAP2C,0,pos,CNTN1,1.30709545,chr12-40691632-40692132,-560
TFAP2C,0,pos,FLRT2,0.914567864,chr14-85583165-85583665,53271
TFAP2C,0,pos,MYO1D,0.983041475,chr17-32822477-32822977,54450
TFAP2C,0,pos,ANKRD30BL,1.666287513,chr2-132418847-132419347,-161128
TFAP2C,0,pos,CHL1,0.867126143,chr3-52442-52942,-143904
TFAP2C,0,pos,MAGI1,0.758946935,chr3-65964713-65965213,73871
TFAP2C,0,pos,FAM19A1,0.967173806,chr3-67869410-67869910,-134556
TFAP2C,0,pos,FAM19A1,1.114767508,chr3-68130293-68130793,126327
TFAP2C,0,pos,GAB1,1.023490534,chr4-143343965-143344465,7453
TFAP2C,0,pos,GAB1,0.690008608,chr4-143362328-143362828,25816
TFAP2C,0,pos,SLC1A3,0.793582145,chr5-36438870-36439370,-167235
TFAP2C,0,pos,SLC1A3,0.695454923,chr5-36717148-36717648,111043
TFAP2C,0,pos,CREB5,0.862270061,chr7-28409778-28410278,110707
TFAP2C,0,pos,GLI3,0.677133708,chr7-42152751-42153251,84869
TFAP2C,0,pos,GLI3,0.720775074,chr7-42232175-42232675,5445
TFAP2C,0,pos,NCALD,0.706667887,chr8-102063877-102064377,60780
TFAP2C,0,pos,NCALD,0.96298018,chr8-102124321-102124821,336
TFAP2C,0,pos,CHD7,0.722421415,chr8-60713854-60714354,35326
FOXG1,0,pos,COL11A1,0.73991407,chr1-103110668-103111168,-2422
FOXG1,0,pos,APOLD1,0.628132151,chr12-12714576-12715076,-11091
FOXG1,0,pos,ATP2B1,0.620283847,chr12-89662667-89663167,46383
FOXG1,0,pos,LIMCH1,0.750150583,chr4-41281014-41281514,-78343
FOXG1,0,pos,LIMCH1,1.0138739,chr4-41363397-41363897,4040
FOXG1,0,pos,LIMCH1,0.771339766,chr4-41427851-41428351,68494
FOXG1,0,pos,SLC1A3,0.801578707,chr5-36655103-36655603,48998
FOXG1,0,pos,GLI3,0.578205797,chr7-42174298-42174798,63322
FOXG1,0,pos,NCALD,0.706667887,chr8-102063877-102064377,60780
FOXG1,0,pos,NCALD,1.470690686,chr8-102162600-102163100,-37943
CDX2,0,pos,COL11A1,0.73991407,chr1-103110668-103111168,-2422
CDX2,0,pos,COL11A1,0.611462691,chr1-103180582-103181082,-72336
CDX2,0,pos,GRAMD1B,0.545010998,chr11-123173169-123173669,-185009
CDX2,0,pos,SYT16,1.251070616,chr14-61860197-61860697,48473
CDX2,0,pos,MYO1D,1.27337629,chr17-32698327-32698827,178600
CDX2,0,pos,MYO1D,0.983041475,chr17-32822477-32822977,54450
CDX2,0,pos,CHL1,0.999511714,chr3-200880-201380,4534
CDX2,0,pos,LIMCH1,0.825112225,chr4-41258748-41259248,-100609
CDX2,0,pos,LIMCH1,0.592666012,chr4-41409073-41409573,49716
CDX2,0,pos,LIMCH1,0.771339766,chr4-41427851-41428351,68494
CDX2,0,pos,CHSY3,1.48216015,chr5-129717990-129718490,-186232
CDX2,0,pos,FBXL7,0.671085882,chr5-15442403-15442903,-57543
CDX2,0,pos,NCALD,0.68036137,chr8-101949662-101950162,174995
CDX2,0,pos,NCALD,0.794155306,chr8-102123054-102123554,1603
FOSL2::JUND,1,pos,DPYD,0.629124235,chr1-97728660-97729160,192139
FOSL2::JUND,1,pos,PLCE1,1.266087228,chr10-94137521-94138021,106959
FOSL2::JUND,1,pos,CRADD,0.800681771,chr12-93616520-93617020,-60605
FOSL2::JUND,1,pos,CA12,1.62359953,chr15-63256579-63257079,125332
FOSL2::JUND,1,pos,CDH13,0.667978476,chr16-82580198-82580698,-46355
FOSL2::JUND,1,pos,KIAA0513,1.965867611,chr16-84970404-84970904,-57097
FOSL2::JUND,1,pos,GAREM1,0.633006887,chr18-32454559-32455059,15675
FOSL2::JUND,1,pos,GPR39,0.553050215,chr2-132438688-132439188,22364
FOSL2::JUND,1,pos,FIGN,0.723144057,chr2-163601313-163601813,134449
FOSL2::JUND,1,pos,FIGN,1.157650487,chr2-163671827-163672327,63935
FOSL2::JUND,1,pos,FIGN,1.038577427,chr2-163933974-163934474,-198212
FOSL2::JUND,1,pos,MPPED1,1.617592808,chr22-43485497-43485997,74551
FOSL2::JUND,1,pos,IQCJ-SCHIP1,0.743025732,chr3-159144759-159145259,182774
FOSL2::JUND,1,pos,CADPS,1.143960918,chr3-62940780-62941280,-65641
FOSL2::JUND,1,pos,NDST3,0.847171533,chr4-117918155-117918655,-115213
FOSL2::JUND,1,pos,MAML3,1.953835912,chr4-140233761-140234261,-79827
FOSL2::JUND,1,pos,LIMCH1,2.067362899,chr4-41409073-41409573,49716
FOSL2::JUND,1,pos,SEMA6A,0.611026324,chr5-116652233-116652733,-77549
FOSL2::JUND,1,pos,CREB5,0.759412391,chr7-28124851-28125351,-174220
FOSL2::JUND,1,pos,CREB5,1.143752512,chr7-28494664-28495164,195593
FOSL2::JUND,1,pos,EEPD1,1.412544367,chr7-36290019-36290519,137120
FOSL2::JUND,1,pos,GLI3,1.195580063,chr7-42189458-42189958,48162
FOSL2::JUND,1,pos,TRPS1,0.82617869,chr8-115774438-115774938,34985
FOSL2::JUND,1,pos,CHD7,1.062428131,chr8-60821753-60822253,143225
FOSL2::JUND,1,pos,GABBR2,0.864924113,chr9-98551508-98552008,157439
FOSL2::JUN,1,pos,DPYD,0.629124235,chr1-97728660-97729160,192139
FOSL2::JUN,1,pos,PLCE1,1.266087228,chr10-94137521-94138021,106959
FOSL2::JUN,1,pos,CRADD,0.800681771,chr12-93616520-93617020,-60605
FOSL2::JUN,1,pos,CA12,1.62359953,chr15-63256579-63257079,125332
FOSL2::JUN,1,pos,CA12,1.87017305,chr15-63372182-63372682,9729
FOSL2::JUN,1,pos,CDH13,0.667978476,chr16-82580198-82580698,-46355
FOSL2::JUN,1,pos,GAREM1,0.633006887,chr18-32454559-32455059,15675
FOSL2::JUN,1,pos,GPR39,0.553050215,chr2-132438688-132439188,22364
FOSL2::JUN,1,pos,FIGN,0.723144057,chr2-163601313-163601813,134449
FOSL2::JUN,1,pos,FIGN,1.157650487,chr2-163671827-163672327,63935
FOSL2::JUN,1,pos,FIGN,1.038577427,chr2-163933974-163934474,-198212
FOSL2::JUN,1,pos,PLCB4,1.626062522,chr20-9241273-9241773,172760
FOSL2::JUN,1,pos,MPPED1,1.617592808,chr22-43485497-43485997,74551
FOSL2::JUN,1,pos,IQCJ-SCHIP1,0.743025732,chr3-159144759-159145259,182774
FOSL2::JUN,1,pos,CADPS,1.143960918,chr3-62940780-62941280,-65641
FOSL2::JUN,1,pos,NDST3,0.847171533,chr4-117918155-117918655,-115213
FOSL2::JUN,1,pos,MAML3,1.953835912,chr4-140233761-140234261,-79827
FOSL2::JUN,1,pos,LIMCH1,2.067362899,chr4-41409073-41409573,49716
FOSL2::JUN,1,pos,SEMA6A,0.611797538,chr5-116378396-116378896,196288
FOSL2::JUN,1,pos,SEMA6A,0.611026324,chr5-116652233-116652733,-77549
FOSL2::JUN,1,pos,CREB5,0.759412391,chr7-28124851-28125351,-174220
FOSL2::JUN,1,pos,CREB5,1.143752512,chr7-28494664-28495164,195593
FOSL2::JUN,1,pos,EEPD1,1.412544367,chr7-36290019-36290519,137120
FOSL2::JUN,1,pos,GLI3,1.195580063,chr7-42189458-42189958,48162
FOSL2::JUN,1,pos,TRPS1,0.82617869,chr8-115774438-115774938,34985
FOSL2::JUN,1,pos,CHD7,1.062428131,chr8-60821753-60822253,143225
FOSL2::JUN,1,pos,GABBR2,0.864924113,chr9-98551508-98552008,157439
FOS::JUN,1,pos,DPYD,0.629124235,chr1-97728660-97729160,192139
FOS::JUN,1,pos,PLCE1,1.266087228,chr10-94137521-94138021,106959
FOS::JUN,1,pos,CRADD,0.800681771,chr12-93616520-93617020,-60605
FOS::JUN,1,pos,CRADD,1.181346219,chr12-93818920-93819420,141795
FOS::JUN,1,pos,CA12,1.62359953,chr15-63256579-63257079,125332
FOS::JUN,1,pos,CDH13,0.667978476,chr16-82580198-82580698,-46355
FOS::JUN,1,pos,KIAA0513,1.965867611,chr16-84970404-84970904,-57097
FOS::JUN,1,pos,GAREM1,0.633006887,chr18-32454559-32455059,15675
FOS::JUN,1,pos,GPR39,0.553050215,chr2-132438688-132439188,22364
FOS::JUN,1,pos,FIGN,0.723144057,chr2-163601313-163601813,134449
FOS::JUN,1,pos,FIGN,1.157650487,chr2-163671827-163672327,63935
FOS::JUN,1,pos,FIGN,1.038577427,chr2-163933974-163934474,-198212
FOS::JUN,1,pos,MPPED1,1.617592808,chr22-43485497-43485997,74551
FOS::JUN,1,pos,IQCJ-SCHIP1,0.743025732,chr3-159144759-159145259,182774
FOS::JUN,1,pos,NDST3,0.847171533,chr4-117918155-117918655,-115213
FOS::JUN,1,pos,MAML3,1.953835912,chr4-140233761-140234261,-79827
FOS::JUN,1,pos,LIMCH1,2.067362899,chr4-41409073-41409573,49716
FOS::JUN,1,pos,SEMA6A,0.611026324,chr5-116652233-116652733,-77549
FOS::JUN,1,pos,CREB5,0.759412391,chr7-28124851-28125351,-174220
FOS::JUN,1,pos,CREB5,1.143752512,chr7-28494664-28495164,195593
FOS::JUN,1,pos,EEPD1,1.412544367,chr7-36290019-36290519,137120
FOS::JUN,1,pos,GLI3,1.195580063,chr7-42189458-42189958,48162
FOS::JUN,1,pos,TRPS1,0.82617869,chr8-115774438-115774938,34985
FOS::JUN,1,pos,CHD7,1.062428131,chr8-60821753-60822253,143225
FOS::JUN,1,pos,GABBR2,0.864924113,chr9-98551508-98552008,157439
FOSL2::JUNB,1,pos,DPYD,0.629124235,chr1-97728660-97729160,192139
FOSL2::JUNB,1,pos,PLCE1,1.266087228,chr10-94137521-94138021,106959
FOSL2::JUNB,1,pos,CRADD,0.800681771,chr12-93616520-93617020,-60605
FOSL2::JUNB,1,pos,CA12,1.62359953,chr15-63256579-63257079,125332
FOSL2::JUNB,1,pos,CDH13,0.667978476,chr16-82580198-82580698,-46355
FOSL2::JUNB,1,pos,KIAA0513,1.965867611,chr16-84970404-84970904,-57097
FOSL2::JUNB,1,pos,GAREM1,0.633006887,chr18-32454559-32455059,15675
FOSL2::JUNB,1,pos,GPR39,0.553050215,chr2-132438688-132439188,22364
FOSL2::JUNB,1,pos,FIGN,0.723144057,chr2-163601313-163601813,134449
FOSL2::JUNB,1,pos,FIGN,1.157650487,chr2-163671827-163672327,63935
FOSL2::JUNB,1,pos,FIGN,1.038577427,chr2-163933974-163934474,-198212
FOSL2::JUNB,1,pos,MPPED1,1.617592808,chr22-43485497-43485997,74551
FOSL2::JUNB,1,pos,IQCJ-SCHIP1,0.743025732,chr3-159144759-159145259,182774
FOSL2::JUNB,1,pos,NDST3,0.847171533,chr4-117918155-117918655,-115213
FOSL2::JUNB,1,pos,MAML3,1.953835912,chr4-140233761-140234261,-79827
FOSL2::JUNB,1,pos,LIMCH1,2.067362899,chr4-41409073-41409573,49716
FOSL2::JUNB,1,pos,SEMA6A,0.611026324,chr5-116652233-116652733,-77549
FOSL2::JUNB,1,pos,CREB5,0.759412391,chr7-28124851-28125351,-174220
FOSL2::JUNB,1,pos,CREB5,1.143752512,chr7-28494664-28495164,195593
FOSL2::JUNB,1,pos,EEPD1,1.412544367,chr7-36290019-36290519,137120
FOSL2::JUNB,1,pos,GLI3,1.195580063,chr7-42189458-42189958,48162
FOSL2::JUNB,1,pos,TRPS1,0.82617869,chr8-115774438-115774938,34985
FOSL2::JUNB,1,pos,GABBR2,0.864924113,chr9-98551508-98552008,157439
FOSL1::JUND,1,pos,DPYD,0.629124235,chr1-97728660-97729160,192139
FOSL1::JUND,1,pos,ZEB1,0.683496944,chr10-31279899-31280399,-38346
FOSL1::JUND,1,pos,PLCE1,1.177020893,chr10-93846731-93847231,-183831
FOSL1::JUND,1,pos,PLCE1,1.266087228,chr10-94137521-94138021,106959
FOSL1::JUND,1,pos,CA12,1.876573646,chr15-63204278-63204778,177633
FOSL1::JUND,1,pos,CA12,1.62359953,chr15-63256579-63257079,125332
FOSL1::JUND,1,pos,CA12,1.87017305,chr15-63372182-63372682,9729
FOSL1::JUND,1,pos,CDH13,0.667978476,chr16-82580198-82580698,-46355
FOSL1::JUND,1,pos,GAREM1,0.633006887,chr18-32454559-32455059,15675
FOSL1::JUND,1,pos,GPR39,0.553050215,chr2-132438688-132439188,22364
FOSL1::JUND,1,pos,FIGN,0.723144057,chr2-163601313-163601813,134449
FOSL1::JUND,1,pos,FIGN,1.157650487,chr2-163671827-163672327,63935
FOSL1::JUND,1,pos,FIGN,1.038577427,chr2-163933974-163934474,-198212
FOSL1::JUND,1,pos,MPPED1,1.617592808,chr22-43485497-43485997,74551
FOSL1::JUND,1,pos,IQCJ-SCHIP1,0.743025732,chr3-159144759-159145259,182774
FOSL1::JUND,1,pos,NDST3,0.847171533,chr4-117918155-117918655,-115213
FOSL1::JUND,1,pos,MAML3,1.953835912,chr4-140233761-140234261,-79827
FOSL1::JUND,1,pos,LIMCH1,2.067362899,chr4-41409073-41409573,49716
FOSL1::JUND,1,pos,SEMA6A,0.611797538,chr5-116378396-116378896,196288
FOSL1::JUND,1,pos,SEMA6A,0.611026324,chr5-116652233-116652733,-77549
FOSL1::JUND,1,pos,CREB5,1.143752512,chr7-28494664-28495164,195593
FOSL1::JUND,1,pos,EEPD1,1.412544367,chr7-36290019-36290519,137120
FOSL1::JUND,1,pos,GLI3,1.195580063,chr7-42189458-42189958,48162
FOSL1::JUND,1,pos,HSPB1,1.152991627,chr7-76269823-76270323,-32471
FOSL1::JUND,1,pos,TRPS1,0.82617869,chr8-115774438-115774938,34985
FOSL1::JUND,1,pos,GABBR2,0.864924113,chr9-98551508-98552008,157439
SCRT1,1,pos,SIPA1L2,1.205351243,chr1-232512780-232513280,48528
SCRT1,1,pos,AC099792.1,1.24734941,chr1-60888081-60888581,-20333
SCRT1,1,pos,DPYD,0.629124235,chr1-97728660-97729160,192139
SCRT1,1,pos,PRKG1,0.636644898,chr10-50878324-50878824,-112784
SCRT1,1,pos,TMEM123,1.398245816,chr11-102343780-102344280,126354
SCRT1,1,pos,TMEM123,1.023908248,chr11-102461276-102461776,8858
SCRT1,1,pos,GRAMD1B,0.696680207,chr11-123159206-123159706,-198972
SCRT1,1,pos,TMEM132B,1.488967035,chr12-125171120-125171620,-15466
SCRT1,1,pos,SYT16,0.925121991,chr14-61932854-61933354,121130
SCRT1,1,pos,SMOC1,0.656448285,chr14-69711006-69711506,-142875
SCRT1,1,pos,SMOC1,1.329335418,chr14-69828305-69828805,-25576
SCRT1,1,pos,SMOC1,0.788079721,chr14-69960224-69960724,106343
SCRT1,1,pos,SMOC1,0.778752104,chr14-69977251-69977751,123370
SCRT1,1,pos,SMOC1,1.189020085,chr14-69989815-69990315,135934
SCRT1,1,pos,CA12,0.778132915,chr15-63413013-63413513,-31102
SCRT1,1,pos,FIGN,0.833954292,chr2-163595070-163595570,140692
SCRT1,1,pos,FIGN,0.99004872,chr2-163729547-163730047,6215
SCRT1,1,pos,MAGI1,0.782603397,chr3-66195319-66195819,-156735
SCRT1,1,pos,GAB1,0.546717022,chr4-143376913-143377413,40401
SCRT1,1,pos,LIMCH1,1.218324964,chr4-41545643-41546143,186286
SCRT1,1,pos,HSPA1B,0.799301874,chr6-31898313-31898813,70828
SCRT1,1,pos,FOXP2,0.827546549,chr7-114151559-114152059,65482
SCRT1,1,pos,CREB5,1.316791947,chr7-28226024-28226524,-73047
SCRT1,1,pos,ELMO1,2.168252779,chr7-37307804-37308304,141195
SCRT1,1,pos,ELMO1,2.064941601,chr7-37480808-37481308,-31809
SCRT1,1,pos,GLI3,1.423305167,chr7-42068835-42069335,168785
SCRT1,1,pos,ZHX2,0.832492286,chr8-122780079-122780579,-1065
SCRT1,1,pos,KIAA1958,0.731363022,chr9-112361481-112361981,-125116
SCRT1,1,pos,GABBR2,0.760180975,chr9-98775777-98776277,-66830
CEBPD,1,pos,SIPA1L2,1.808558167,chr1-232489371-232489871,71937
